"Order Date","Item Type","Units Sold","Unit Price","Total Profit","Country","Year","Revenue","Unit_Cost","Cost_Rank","Count"
"3/21/2017","Clothes",1803,109.28,132412.32,"Australia","2017",197031.84,35.84,1379,8090
"7/9/2017","Cosmetics",560,437.2,97367.2,"Cuba","2017",244832,263.33,5473,8090
"6/14/2017","Fruits",8356,9.33,20137.96,"Ukraine","2017",77961.48,6.92,125,8090
"6/16/2017","Personal Care",7943,81.73,199051.58,"New Zealand","2017",649181.39,56.67,2372,8090
"1/21/2017","Cereal",5180,205.7,458896.2,"Ukraine","2017",1065526,117.11,4682,8090
"6/19/2017","Vegetables",539,154.06,34027.07,"Australia","2017",83038.34,90.93,2696,8090
"3/8/2017","Personal Care",702,81.73,17592.12,"Cuba","2017",57374.46,56.67,2625,8090
"4/13/2017","Beverages",1068,47.45,16724.88,"United Kingdom","2017",50676.6,31.79,861,8090
"2/16/2017","Clothes",3467,109.28,254616.48,"Canada","2017",378873.76,35.84,1379,8090
"2/4/2017","Beverages",6867,47.45,107537.22,"Vietnam","2017",325839.15,31.79,861,8090
"7/10/2017","Snacks",2072,152.58,114250.08,"United Kingdom","2017",316145.76,97.44,3358,8090
"3/14/2017","Fruits",6890,9.33,16604.9,"Cuba","2017",64283.7,6.92,1,8090
"3/28/2017","Personal Care",5933,81.73,148680.98,"Norway","2017",484904.09,56.67,2012,8090
"6/5/2017","Cereal",6714,205.7,594793.26,"Vietnam","2017",1381069.8,117.11,4021,8090
"4/24/2017","Fruits",6230,9.33,15014.3,"Vietnam","2017",58125.9,6.92,428,8090
"3/26/2017","Personal Care",7280,81.73,182436.8,"Australia","2017",594994.4,56.67,2109,8090
"7/6/2017","Clothes",4606,109.28,338264.64,"Singapore","2017",503343.68,35.84,1379,8090
"2/18/2017","Office Supplies",5771,651.21,728588.75,"Canada","2017",3758132.91,524.96,7440,8090
"4/28/2017","Vegetables",8186,154.06,516782.18,"United Kingdom","2017",1261135.16,90.93,2696,8090
"3/29/2017","Household",8089,668.27,1340589.97,"Singapore","2017",5405636.03,502.54,7366,8090
"4/18/2017","Snacks",8463,152.58,466649.82,"Ukraine","2017",1291284.54,97.44,3358,8090
"7/2/2017","Meat",3001,421.89,171657.2,"Singapore","2017",1266091.89,364.69,6240,8090
"5/9/2017","Beverages",5204,47.45,81494.64,"New Zealand","2017",246929.8,31.79,1121,8090
"2/6/2017","Household",1814,668.27,300634.22,"Canada","2017",1212241.78,502.54,7183,8090
"1/28/2017","Household",242,668.27,40106.66,"Cuba","2017",161721.34,502.54,6910,8090
"4/5/2017","Office Supplies",7859,651.21,992198.75,"Canada","2017",5117859.39,524.96,7440,8090
"6/3/2017","Beverages",1915,47.45,29988.9,"Singapore","2017",90866.75,31.79,667,8090
"2/19/2017","Household",705,668.27,116839.65,"Australia","2017",471130.35,502.54,6743,8090
"4/29/2017","Cosmetics",9200,437.2,1599604,"Singapore","2017",4022240,263.33,5473,8090
"6/5/2017","Cosmetics",139,437.2,24167.93,"New Zealand","2017",60770.8,263.33,5473,8090
"5/13/2017","Personal Care",6807,81.73,170583.42,"Cuba","2017",556336.11,56.67,2012,8090
"5/25/2017","Clothes",3337,109.28,245069.28,"Australia","2017",364667.36,35.84,1379,8090
"7/17/2017","Baby Food",3700,255.28,354682,"United Kingdom","2017",944536,159.42,4738,8090
"5/24/2017","Cereal",9686,205.7,858082.74,"Norway","2017",1992410.2,117.11,4438,8090
"3/15/2017","Cereal",7690,205.7,681257.1,"United Kingdom","2017",1581833,117.11,4438,8090
"1/30/2017","Baby Food",2973,255.28,284991.78,"Ukraine","2017",758947.44,159.42,5024,8090
"2/18/2017","Baby Food",8058,255.28,772439.88,"Luxembourg","2017",2057046.24,159.42,4738,8090
"4/5/2017","Snacks",2426,152.58,133769.64,"Luxembourg","2017",370159.08,97.44,3358,8090
"6/13/2017","Meat",8706,421.89,497983.2,"United Kingdom","2017",3672974.34,364.69,6073,8090
"2/22/2017","Meat",6301,421.89,360417.2,"Vietnam","2017",2658328.89,364.69,6240,8090
"3/18/2017","Clothes",9994,109.28,733959.36,"United Kingdom","2017",1092144.32,35.84,1871,8090
"2/14/2017","Cosmetics",9595,437.2,1668282.65,"Canada","2017",4194934,263.33,5473,8090
"4/19/2017","Snacks",1898,152.58,104655.72,"New Zealand","2017",289596.84,97.44,3514,8090
"2/1/2017","Fruits",4128,9.33,9948.48,"New Zealand","2017",38514.24,6.92,125,8090
"7/4/2017","Fruits",1237,9.33,2981.17,"New Zealand","2017",11541.21,6.92,428,8090
"6/17/2017","Household",5593,668.27,926927.89,"Canada","2017",3737634.11,502.54,6910,8090
"1/12/2017","Snacks",4327,152.58,238590.78,"Norway","2017",660213.66,97.44,3358,8090
"3/28/2017","Baby Food",1296,255.28,124234.56,"Vietnam","2017",330842.88,159.42,5024,8090
"2/19/2017","Meat",1281,421.89,73273.2,"Cuba","2017",540441.09,364.69,6073,8090
"1/27/2017","Beverages",8663,47.45,135662.58,"New Zealand","2017",411059.35,31.79,861,8090
"1/14/2017","Beverages",6483,47.45,101523.78,"Singapore","2017",307618.35,31.79,1121,8090
"5/4/2017","Vegetables",7883,154.06,497653.79,"Vietnam","2017",1214454.98,90.93,2696,8090
"2/14/2017","Cereal",2948,205.7,261163.32,"Australia","2017",606403.6,117.11,4156,8090
"7/12/2017","Fruits",9441,9.33,22752.81,"Vietnam","2017",88084.53,6.92,125,8090
"5/19/2017","Cereal",717,205.7,63519.03,"New Zealand","2017",147486.9,117.11,4438,8090
"3/10/2017","Household",8644,668.27,1432570.12,"Singapore","2017",5776525.88,502.54,6910,8090
"3/27/2017","Household",5144,668.27,852515.12,"Vietnam","2017",3437580.88,502.54,6910,8090
"5/13/2017","Clothes",6453,109.28,473908.32,"Norway","2017",705183.84,35.84,1379,8090
"6/26/2017","Beverages",5245,47.45,82136.7,"Singapore","2017",248875.25,31.79,1284,8090
"1/30/2017","Household",4045,668.27,670377.85,"Canada","2017",2703152.15,502.54,6910,8090
"7/25/2017","Vegetables",5546,154.06,350118.98,"Australia","2017",854416.76,90.93,2949,8090
"5/4/2017","Clothes",9664,109.28,709724.16,"Luxembourg","2017",1056081.92,35.84,1316,8090
"1/21/2017","Cereal",8615,205.7,763202.85,"New Zealand","2017",1772105.5,117.11,4438,8090
"5/3/2017","Office Supplies",804,651.21,101505,"Singapore","2017",523572.84,524.96,7440,8090
"2/18/2017","Office Supplies",6628,651.21,836785,"United Kingdom","2017",4316219.88,524.96,7440,8090
"2/21/2017","Household",5790,668.27,959576.7,"Luxembourg","2017",3869283.3,502.54,6910,8090
"6/22/2017","Office Supplies",4424,651.21,558530,"Australia","2017",2880953.04,524.96,7440,8090
"2/12/2017","Baby Food",4650,255.28,445749,"Ukraine","2017",1187052,159.42,4738,8090
"7/1/2017","Beverages",4279,47.45,67009.14,"United Kingdom","2017",203038.55,31.79,1121,8090
"7/25/2017","Baby Food",2261,255.28,216739.46,"Cuba","2017",577188.08,159.42,4738,8090
"6/27/2017","Cosmetics",2965,437.2,515524.55,"Singapore","2017",1296298,263.33,5473,8090
"4/18/2017","Fruits",8462,9.33,20393.42,"Vietnam","2017",78950.46,6.92,428,8090
"6/25/2017","Cereal",6159,205.7,545625.81,"Vietnam","2017",1266906.3,117.11,4017,8090
"1/1/2017","Clothes",7589,109.28,557336.16,"New Zealand","2017",829325.92,35.84,1619,8090
"7/27/2017","Household",6783,668.27,1124146.59,"Luxembourg","2017",4532875.41,502.54,7183,8090
"2/13/2017","Baby Food",8085,255.28,775028.1,"New Zealand","2017",2063938.8,159.42,5024,8090
"1/7/2017","Vegetables",5781,154.06,364954.53,"Vietnam","2017",890620.86,90.93,2696,8090
"7/19/2017","Cosmetics",2213,437.2,384774.31,"Cuba","2017",967523.6,263.33,5971,8090
"2/7/2017","Cereal",4176,205.7,369951.84,"New Zealand","2017",859003.2,117.11,4156,8090
"1/9/2017","Snacks",443,152.58,24427.02,"Norway","2017",67592.94,97.44,3358,8090
"6/29/2017","Office Supplies",4267,651.21,538708.75,"United Kingdom","2017",2778713.07,524.96,7440,8090
"4/13/2017","Vegetables",4567,154.06,288314.71,"Ukraine","2017",703592.02,90.93,2696,8090
"3/10/2017","Cereal",1363,205.7,120748.17,"Luxembourg","2017",280369.1,117.11,4438,8090
"3/2/2017","Cosmetics",2370,437.2,412071.9,"Australia","2017",1036164,263.33,5473,8090
"7/18/2017","Snacks",1847,152.58,101843.58,"Norway","2017",281815.26,97.44,3358,8090
"6/15/2017","Cosmetics",5581,437.2,970368.47,"Canada","2017",2440013.2,263.33,5397,8090
"4/19/2017","Vegetables",6971,154.06,440079.23,"Norway","2017",1073952.26,90.93,2949,8090
"2/16/2017","Office Supplies",3182,651.21,401727.5,"Norway","2017",2072150.22,524.96,7440,8090
"1/14/2017","Cosmetics",479,437.2,83283.73,"Norway","2017",209418.8,263.33,5473,8090
"6/2/2017","Fruits",1118,9.33,2694.38,"Australia","2017",10430.94,6.92,125,8090
"6/24/2017","Meat",6937,421.89,396796.4,"Norway","2017",2926650.93,364.69,6240,8090
"5/20/2017","Baby Food",1942,255.28,186160.12,"Norway","2017",495753.76,159.42,5024,8090
"4/6/2017","Snacks",221,152.58,12185.94,"New Zealand","2017",33720.18,97.44,3358,8090
"5/27/2017","Clothes",286,109.28,21003.84,"Singapore","2017",31254.08,35.84,1619,8090
"1/14/2017","Meat",53,421.89,3031.6,"United Kingdom","2017",22360.17,364.69,6240,8090
"7/2/2017","Baby Food",5721,255.28,548415.06,"Luxembourg","2017",1460456.88,159.42,5024,8090
"3/13/2017","Vegetables",669,154.06,42233.97,"Canada","2017",103066.14,90.93,2696,8090
"1/24/2017","Fruits",6346,9.33,15293.86,"Cuba","2017",59208.18,6.92,125,8090
"3/17/2017","Meat",7702,421.89,440554.4,"United Kingdom","2017",3249396.78,364.69,6240,8090
"3/1/2017","Household",8498,668.27,1408373.54,"Australia","2017",5678958.46,502.54,6910,8090
"4/4/2017","Vegetables",6349,154.06,400812.37,"New Zealand","2017",978126.94,90.93,2949,8090
"5/10/2017","Cosmetics",3928,437.2,682961.36,"Australia","2017",1717321.6,263.33,5473,8090
"6/11/2017","Vegetables",8332,154.06,525999.16,"Ukraine","2017",1283627.92,90.93,2696,8090
"5/28/2017","Meat",5073,421.89,290175.6,"Vietnam","2017",2140247.97,364.69,6073,8090
"1/1/2017","Cereal",3238,205.7,286854.42,"Singapore","2017",666056.6,117.11,4438,8090
"7/16/2017","Office Supplies",621,651.21,78401.25,"Cuba","2017",404401.41,524.96,7440,8090
"3/26/2017","Household",1273,668.27,210974.29,"Ukraine","2017",850707.71,502.54,6910,8090
"7/5/2017","Beverages",8956,47.45,140250.96,"Cuba","2017",424962.2,31.79,667,8090
"5/24/2017","Clothes",6402,109.28,470162.88,"Singapore","2017",699610.56,35.84,1871,8090
"5/29/2017","Personal Care",4586,81.73,114925.16,"Luxembourg","2017",374813.78,56.67,2372,8090
"7/21/2017","Clothes",6086,109.28,446955.84,"Cuba","2017",665078.08,35.84,1316,8090
"6/16/2017","Meat",1733,421.89,99127.6,"Canada","2017",731135.37,364.69,6240,8090
"6/22/2017","Office Supplies",6498,651.21,820372.5,"United Kingdom","2017",4231562.58,524.96,7440,8090
"5/7/2017","Cereal",2829,205.7,250621.11,"Canada","2017",581925.3,117.11,4156,8090
"6/16/2017","Fruits",5662,9.33,13645.42,"Cuba","2017",52826.46,6.92,125,8090
"7/25/2017","Beverages",4980,47.45,77986.8,"Ukraine","2017",236301,31.79,861,8090
"2/24/2017","Beverages",963,47.45,15080.58,"Norway","2017",45694.35,31.79,861,8090
"1/9/2017","Cosmetics",1945,437.2,338177.15,"Vietnam","2017",850354,263.33,5473,8090
"7/18/2017","Office Supplies",1638,651.21,206797.5,"Australia","2017",1066681.98,524.96,7440,8090
"3/8/2017","Cosmetics",5275,437.2,917164.25,"New Zealand","2017",2306230,263.33,5473,8090
"7/22/2017","Fruits",6098,9.33,14696.18,"Cuba","2017",56894.34,6.92,428,8090
"5/8/2017","Meat",5627,421.89,321864.4,"Vietnam","2017",2373975.03,364.69,6240,8090
"4/17/2017","Clothes",3099,109.28,227590.56,"Norway","2017",338658.72,35.84,1871,8090
"7/1/2017","Baby Food",6064,255.28,581295.04,"Australia","2017",1548017.92,159.42,4738,8090
"2/21/2017","Household",151,668.27,25025.23,"Ukraine","2017",100908.77,502.54,7366,8090
"2/24/2017","Meat",6314,421.89,361160.8,"Ukraine","2017",2663813.46,364.69,6240,8090
"7/6/2017","Personal Care",7824,81.73,196069.44,"Vietnam","2017",639455.52,56.67,2109,8090
"2/1/2017","Beverages",1847,47.45,28924.02,"Cuba","2017",87640.15,31.79,861,8090
"7/9/2017","Fruits",206,9.33,496.46,"Norway","2017",1921.98,6.92,125,8090
"7/9/2017","Meat",3845,421.89,219934,"Australia","2017",1622167.05,364.69,6240,8090
"7/16/2017","Meat",5617,421.89,321292.4,"Vietnam","2017",2369756.13,364.69,6240,8090
"4/16/2017","Cosmetics",230,437.2,39990.1,"Luxembourg","2017",100556,263.33,5473,8090
"3/16/2017","Office Supplies",1767,651.21,223083.75,"Australia","2017",1150688.07,524.96,7440,8090
"3/12/2017","Fruits",4023,9.33,9695.43,"Australia","2017",37534.59,6.92,428,8090
"7/8/2017","Cosmetics",1696,437.2,294883.52,"Vietnam","2017",741491.2,263.33,5473,8090
"6/3/2017","Cosmetics",2343,437.2,407377.41,"Luxembourg","2017",1024359.6,263.33,5473,8090
"5/25/2017","Snacks",7341,152.58,404782.74,"Vietnam","2017",1120089.78,97.44,3514,8090
"2/21/2017","Beverages",8082,47.45,126564.12,"Luxembourg","2017",383490.9,31.79,861,8090
"7/2/2017","Vegetables",4291,154.06,270890.83,"United Kingdom","2017",661071.46,90.93,2696,8090
"5/6/2017","Vegetables",3536,154.06,223227.68,"Luxembourg","2017",544756.16,90.93,2949,8090
"3/13/2017","Cereal",4598,205.7,407336.82,"Cuba","2017",945808.6,117.11,4438,8090
"1/2/2017","Vegetables",8026,154.06,506681.38,"Ukraine","2017",1236485.56,90.93,2949,8090
"1/13/2017","Personal Care",7399,81.73,185418.94,"Ukraine","2017",604720.27,56.67,2109,8090
"6/3/2017","Personal Care",7270,81.73,182186.2,"Australia","2017",594177.1,56.67,2012,8090
"7/4/2017","Beverages",8163,47.45,127832.58,"United Kingdom","2017",387334.35,31.79,861,8090
"3/18/2017","Baby Food",9643,255.28,924377.98,"Vietnam","2017",2461665.04,159.42,5024,8090
"6/4/2017","Snacks",8993,152.58,495874.02,"Vietnam","2017",1372151.94,97.44,3514,8090
"1/8/2017","Household",7930,668.27,1314238.9,"Australia","2017",5299381.1,502.54,6910,8090
"3/19/2017","Fruits",285,9.33,686.85,"Singapore","2017",2659.05,6.92,428,8090
"3/18/2017","Fruits",2992,9.33,7210.72,"Luxembourg","2017",27915.36,6.92,125,8090
"2/14/2017","Household",5011,668.27,830473.03,"United Kingdom","2017",3348700.97,502.54,6743,8090
"4/7/2017","Snacks",1225,152.58,67546.5,"Australia","2017",186910.5,97.44,3830,8090
"3/24/2017","Clothes",1249,109.28,91726.56,"Ukraine","2017",136490.72,35.84,1619,8090
"1/22/2017","Household",1681,668.27,278592.13,"United Kingdom","2017",1123361.87,502.54,6743,8090
"7/14/2017","Personal Care",5593,81.73,140160.58,"Vietnam","2017",457115.89,56.67,2372,8090
"5/21/2017","Cereal",3795,205.7,336199.05,"United Kingdom","2017",780631.5,117.11,4438,8090
"7/13/2017","Meat",6726,421.89,384727.2,"New Zealand","2017",2837632.14,364.69,6240,8090
"7/17/2017","Beverages",7187,47.45,112548.42,"Ukraine","2017",341023.15,31.79,1121,8090
"4/30/2017","Snacks",3987,152.58,219843.18,"Vietnam","2017",608336.46,97.44,3830,8090
"6/18/2017","Fruits",2240,9.33,5398.4,"Ukraine","2017",20899.2,6.92,428,8090
"6/29/2017","Baby Food",6183,255.28,592702.38,"Vietnam","2017",1578396.24,159.42,4738,8090
"6/3/2017","Vegetables",3193,154.06,201574.09,"United Kingdom","2017",491913.58,90.93,2696,8090
"1/8/2017","Personal Care",4069,81.73,101969.14,"Australia","2017",332559.37,56.67,2012,8090
"7/7/2017","Meat",2035,421.89,116402,"United Kingdom","2017",858546.15,364.69,6240,8090
"1/19/2017","Clothes",1657,109.28,121690.08,"United Kingdom","2017",181076.96,35.84,1379,8090
"3/1/2017","Snacks",9283,152.58,511864.62,"Singapore","2017",1416400.14,97.44,3514,8090
"5/20/2017","Cereal",214,205.7,18958.26,"Singapore","2017",44019.8,117.11,4156,8090
"5/18/2017","Vegetables",6774,154.06,427642.62,"Canada","2017",1043602.44,90.93,2949,8090
"5/10/2017","Cosmetics",2924,437.2,508395.88,"New Zealand","2017",1278372.8,263.33,5971,8090
"5/3/2017","Vegetables",9652,154.06,609330.76,"Luxembourg","2017",1486987.12,90.93,2949,8090
"3/12/2017","Personal Care",4586,81.73,114925.16,"Cuba","2017",374813.78,56.67,2372,8090
"3/7/2017","Personal Care",899,81.73,22528.94,"Singapore","2017",73475.27,56.67,2109,8090
"6/14/2017","Cereal",4496,205.7,398300.64,"Ukraine","2017",924827.2,117.11,4156,8090
"3/21/2017","Office Supplies",9655,651.21,1218943.75,"Vietnam","2017",6287432.55,524.96,7440,8090
"7/12/2017","Cereal",9792,205.7,867473.28,"United Kingdom","2017",2014214.4,117.11,4156,8090
"4/7/2017","Vegetables",6798,154.06,429157.74,"Ukraine","2017",1047299.88,90.93,2949,8090
"1/16/2017","Office Supplies",3563,651.21,449828.75,"Ukraine","2017",2320261.23,524.96,7440,8090
"4/10/2017","Snacks",7895,152.58,435330.3,"Canada","2017",1204619.1,97.44,3514,8090
"5/28/2017","Vegetables",7209,154.06,455104.17,"Australia","2017",1110618.54,90.93,3291,8090
"7/11/2017","Personal Care",6358,81.73,159331.48,"Norway","2017",519639.34,56.67,2012,8090
"4/9/2017","Meat",1743,421.89,99699.6,"Canada","2017",735354.27,364.69,6240,8090
"6/25/2017","Clothes",4657,109.28,342010.08,"Norway","2017",508916.96,35.84,1619,8090
"4/26/2017","Household",453,668.27,75075.69,"United Kingdom","2017",302726.31,502.54,6910,8090
"3/8/2017","Beverages",7051,47.45,110418.66,"Singapore","2017",334569.95,31.79,861,8090
"2/12/2017","Clothes",5780,109.28,424483.2,"Cuba","2017",631638.4,35.84,1619,8090
"5/12/2017","Meat",9512,421.89,544086.4,"Vietnam","2017",4013017.68,364.69,6240,8090
"4/21/2017","Cosmetics",4482,437.2,779285.34,"Australia","2017",1959530.4,263.33,5473,8090
"1/3/2017","Snacks",1885,152.58,103938.9,"Vietnam","2017",287613.3,97.44,3830,8090
"2/6/2017","Beverages",5731,47.45,89747.46,"Cuba","2017",271935.95,31.79,667,8090
"4/25/2017","Snacks",1871,152.58,103166.94,"Luxembourg","2017",285477.18,97.44,3830,8090
"1/1/2017","Meat",6301,421.89,360417.2,"Australia","2017",2658328.89,364.69,6240,8090
"1/28/2017","Household",1378,668.27,228375.94,"Vietnam","2017",920876.06,502.54,6743,8090
"4/24/2017","Cosmetics",7363,437.2,1280204.81,"New Zealand","2017",3219103.6,263.33,5473,8090
"1/6/2017","Beverages",8412,47.45,131731.92,"United Kingdom","2017",399149.4,31.79,667,8090
"1/20/2017","Office Supplies",380,651.21,47975,"Singapore","2017",247459.8,524.96,7440,8090
"1/12/2017","Vegetables",4315,154.06,272405.95,"Norway","2017",664768.9,90.93,2949,8090
"4/29/2017","Office Supplies",4543,651.21,573553.75,"Australia","2017",2958447.03,524.96,7440,8090
"6/25/2017","Clothes",7,109.28,514.08,"Vietnam","2017",764.96,35.84,1379,8090
"1/28/2017","Personal Care",5590,81.73,140085.4,"United Kingdom","2017",456870.7,56.67,2372,8090
"5/13/2017","Beverages",92,47.45,1440.72,"Australia","2017",4365.4,31.79,861,8090
"5/7/2017","Baby Food",5180,255.28,496554.8,"New Zealand","2017",1322350.4,159.42,4717,8090
"6/29/2017","Cereal",44,205.7,3897.96,"Vietnam","2017",9050.8,117.11,4156,8090
"4/24/2017","Office Supplies",5719,651.21,722023.75,"Luxembourg","2017",3724269.99,524.96,7440,8090
"6/3/2017","Vegetables",4978,154.06,314261.14,"Australia","2017",766910.68,90.93,2949,8090
"2/12/2017","Baby Food",9286,255.28,890155.96,"Norway","2017",2370530.08,159.42,5024,8090
"6/13/2017","Vegetables",4845,154.06,305864.85,"United Kingdom","2017",746420.7,90.93,2696,8090
"2/3/2017","Office Supplies",1067,651.21,134708.75,"United Kingdom","2017",694841.07,524.96,7440,8090
"3/10/2017","Clothes",5212,109.28,382769.28,"Luxembourg","2017",569567.36,35.84,1316,8090
"7/23/2017","Vegetables",1094,154.06,69064.22,"Vietnam","2017",168541.64,90.93,2949,8090
"5/28/2017","Baby Food",714,255.28,68444.04,"Luxembourg","2017",182269.92,159.42,5024,8090
"5/14/2017","Office Supplies",5665,651.21,715206.25,"Ukraine","2017",3689104.65,524.96,7440,8090
"3/8/2017","Cosmetics",1840,437.2,319920.8,"Ukraine","2017",804448,263.33,5473,8090
"2/23/2017","Office Supplies",2441,651.21,308176.25,"Vietnam","2017",1589603.61,524.96,7440,8090
"3/10/2017","Fruits",2213,9.33,5333.33,"United Kingdom","2017",20647.29,6.92,428,8090
"5/31/2017","Snacks",6667,152.58,367618.38,"Ukraine","2017",1017250.86,97.44,3514,8090
"3/7/2017","Fruits",8329,9.33,20072.89,"United Kingdom","2017",77709.57,6.92,428,8090
"4/19/2017","Meat",3396,421.89,194251.2,"Canada","2017",1432738.44,364.69,6240,8090
"2/11/2017","Fruits",2557,9.33,6162.37,"Luxembourg","2017",23856.81,6.92,428,8090
"5/23/2017","Beverages",7316,47.45,114568.56,"Vietnam","2017",347144.2,31.79,861,8090
"5/1/2017","Baby Food",7847,255.28,752213.42,"Vietnam","2017",2003182.16,159.42,4717,8090
"5/24/2017","Meat",4110,421.89,235092,"Singapore","2017",1733967.9,364.69,6240,8090
"4/23/2017","Beverages",9140,47.45,143132.4,"Singapore","2017",433693,31.79,667,8090
"5/30/2017","Cosmetics",2370,437.2,412071.9,"New Zealand","2017",1036164,263.33,5473,8090
"5/5/2017","Baby Food",7384,255.28,707830.24,"Luxembourg","2017",1884987.52,159.42,5024,8090
"1/15/2017","Beverages",3551,47.45,55608.66,"Ukraine","2017",168494.95,31.79,861,8090
"1/16/2017","Cereal",847,205.7,75035.73,"New Zealand","2017",174227.9,117.11,4438,8090
"2/5/2017","Clothes",3797,109.28,278851.68,"Norway","2017",414936.16,35.84,1871,8090
"6/28/2017","Clothes",3892,109.28,285828.48,"Vietnam","2017",425317.76,35.84,1871,8090
"4/28/2017","Cosmetics",2251,437.2,391381.37,"Australia","2017",984137.2,263.33,5473,8090
"3/12/2017","Office Supplies",6866,651.21,866832.5,"Cuba","2017",4471207.86,524.96,7440,8090
